productid,productname,category,unitprice,rating,seasonal
2071,CLOTHING-SUCCESS,OFFICE,615.16,5,N
2072,ELECTRONICS-BECOME,OFFICE,420.3,1,N
2073,CLOTHING-EXECUTIVE,OFFICE,499.43,3,N
2074,CLOTHING-STRONG,CLOTHING,659.5,5,N
2075,ELECTRONICS-LETTER,ELECTRONICS,780.64,4,N
2076,CLOTHING-AFFECT,CLOTHING,806.07,1,N
2077,OFFICE-BALL,ELECTRONICS,561.83,1,N
2078,ELECTRONICS-FILM,OFFICE,142.01,3,Y
2079,OFFICE-WHO,HOME,950.54,1,N
2080,OFFICE-DOCTOR,OFFICE,832.26,1,N
2081,OFFICE-LIGHT,CLOTHING,746.22,5,Y
2082,OFFICE-FIGURE,OFFICE,266.6,3,N
2083,CLOTHING-CUT,HOME,768.16,5,N
2084,OFFICE-STUFF,CLOTHING,281.85,5,N
2085,ELECTRONICS-OFFICER,HOME,242.15,3,Y
2086,HOME-OF,HOME,894.1,0,N
2087,ELECTRONICS-RATHER,CLOTHING,159.32,5,N
2088,OFFICE-EVENING,CLOTHING,709.35,4,N
2089,ELECTRONICS-ACTION,OFFICE,413.52,4,N
2090,OFFICE-STAFF,OFFICE,71.64,1,N
2091,OFFICE-MRS,OFFICE,905.79,4,N
2092,ELECTRONICS-ADD,OFFICE,482.21,1,N
2093,HOME-REAL,HOME,755.94,0,N
2094,OFFICE-FIGHT,CLOTHING,493.35,3,N
2095,HOME-SEEM,OFFICE,490.79,3,N
2096,OFFICE-DISCUSS,HOME,672.18,3,N
2097,OFFICE-RECENT,CLOTHING,842.1,4,Y
2098,CLOTHING-TROUBLE,ELECTRONICS,907.86,0,N
2099,ELECTRONICS-SEVERAL,ELECTRONICS,646.32,4,N
